Generation,Mutation Rate,Best Fitness,Average Fitness,Plateau Length
0,1.005,549.0,-73.794,1
1,1.005,549.0,10.324,1
2,0.51,549.0,-47.008,2
3,0.34833333333333333,554.0,18.988,3
4,1.005,554.0,6.374,1
5,0.51,554.0,-124.57,2
6,0.34833333333333333,554.0,-127.002,3
7,0.27,554.0,-12.428,4
8,0.225,554.0,-34.532,5
9,0.19666666666666666,554.0,19.802,6
10,0.17785714285714285,554.0,28.548,7
11,0.165,554.0,20.032,8
12,0.1561111111111111,554.0,-83.028,9
13,0.15000000000000002,554.0,-129.59,10
14,0.1459090909090909,554.0,32.168,11
15,0.1433333333333333,554.0,45.756,12
16,0.14192307692307693,554.0,-38.992,13
17,0.14142857142857143,554.0,-13.81,14
18,0.14166666666666666,554.0,-226.044,15
19,0.14250000000000002,554.0,43.128,16
20,0.1438235294117647,554.0,-70.6,17
21,0.14555555555555555,555.0,-132.352,18
22,1.005,555.0,56.118,1
23,0.51,555.0,-12.374,2
24,0.34833333333333333,555.0,-98.55,3
25,0.27,555.0,-18.6,4
26,0.225,555.0,-0.21,5
27,0.19666666666666666,555.0,22.26,6
28,0.17785714285714285,555.0,-10.468,7
29,0.165,555.0,-13.492,8
30,0.1561111111111111,555.0,-12.138,9
31,0.15000000000000002,555.0,-71.998,10
32,0.1459090909090909,555.0,25.482,11
33,0.1433333333333333,555.0,40.27,12
34,0.14192307692307693,555.0,-15.532,13
35,0.14142857142857143,555.0,4.064,14
36,0.14166666666666666,555.0,60.112,15
37,0.14250000000000002,555.0,-68.82,16
38,0.1438235294117647,555.0,72.856,17
39,0.14555555555555555,555.0,8.084,18
40,0.14763157894736842,555.0,76.342,19
41,0.15000000000000002,555.0,104.728,20
42,0.1526190476190476,555.0,100.174,21
43,0.15545454545454546,555.0,47.268,22
44,0.15847826086956524,555.0,97.356,23
45,0.16166666666666665,555.0,30.432,24
46,0.165,555.0,27.668,25
47,0.16846153846153847,555.0,73.114,26
48,0.17203703703703704,555.0,102.2,27
49,0.1757142857142857,555.0,77.242,28
50,0.17948275862068963,555.0,59.606,29
51,0.18333333333333332,555.0,97.412,30
52,0.18725806451612903,555.0,23.02,31
53,0.19125,555.0,123.336,32
54,0.1953030303030303,555.0,56.304,33
55,0.19941176470588237,555.0,88.64,34
56,0.20357142857142857,555.0,90.574,35
57,0.20777777777777778,555.0,-67.0,36
58,0.21202702702702703,555.0,16.978,37
59,0.2163157894736842,555.0,68.538,38
60,0.22064102564102564,555.0,72.5,39
61,0.225,555.0,0.52,40
62,0.229390243902439,555.0,28.088,41
63,0.2338095238095238,555.0,51.164,42
64,0.23825581395348838,555.0,-55.886,43
65,0.24272727272727274,555.0,-76.106,44
66,0.24722222222222223,555.0,-64.25,45
67,0.25173913043478263,555.0,2.59,46
68,0.2562765957446808,555.0,49.692,47
69,0.2608333333333333,555.0,-79.52,48
70,0.26540816326530614,555.0,-58.526,49
71,0.27,555.0,-50.476,50
72,0.2746078431372549,555.0,-48.722,51
73,0.2792307692307692,555.0,25.556,52
74,0.2838679245283019,555.0,-102.33,53
75,0.2885185185185185,555.0,-4.454,54
76,0.2931818181818182,555.0,22.516,55
77,0.2978571428571429,555.0,10.674,56
78,0.3025438596491228,555.0,-14.582,57
79,0.3072413793103448,555.0,-62.662,58
80,0.3119491525423729,555.0,-145.806,59
81,0.31666666666666665,555.0,-83.07,60
82,0.32139344262295083,555.0,34.614,61
83,0.3261290322580645,555.0,-77.166,62
84,0.3308730158730159,555.0,-44.83,63
85,0.335625,555.0,-1.506,64
86,0.3403846153846154,555.0,-235.922,65
87,0.34515151515151515,555.0,22.45,66
88,0.34992537313432837,555.0,-61.314,67
89,0.3547058823529412,555.0,22.88,68
90,0.3594927536231884,555.0,14.938,69
91,0.36428571428571427,555.0,-6.094,70
92,0.3690845070422535,555.0,-47.462,71
93,0.3738888888888889,555.0,25.026,72
94,0.3786986301369863,555.0,23.206,73
95,0.3835135135135135,555.0,-41.202,74
96,0.3883333333333333,555.0,13.808,75
97,0.3931578947368421,555.0,-170.044,76
98,0.397987012987013,555.0,-29.582,77
99,0.40282051282051284,555.0,9.788,78
100,0.4076582278481013,555.0,22.574,79
101,0.41250000000000003,555.0,20.136,80
102,0.4173456790123457,555.0,15.408,81
103,0.4221951219512195,555.0,9.408,82
104,0.4270481927710843,555.0,21.9,83
105,0.4319047619047619,555.0,-14.586,84
106,0.43676470588235294,555.0,-44.158,85
107,0.4416279069767442,555.0,-18.56,86
108,0.4464942528735632,555.0,-531.586,87
109,0.45136363636363636,555.0,2.906,88
110,0.45623595505617975,555.0,-10.994,89
111,0.46111111111111114,555.0,-25.768,90
112,0.465989010989011,555.0,-21.966,91
113,0.4708695652173913,555.0,-484.416,92
114,0.475752688172043,555.0,-169.172,93
115,0.4806382978723404,555.0,-321.92,94
116,0.48552631578947364,555.0,-203.87,95
117,0.49041666666666667,555.0,24.962,96
118,0.49530927835051547,555.0,2.726,97
119,0.5002040816326531,555.0,4.74,98
120,0.50510101010101,555.0,-46.144,99
