Generation,Mutation Rate,Best Fitness,Average Fitness,Plateau Length
0,1.005,400.0,11.992,1
1,1.005,534.0,-159.3,1
2,1.005,534.0,-7.498,1
3,0.51,534.0,-165.618,2
4,0.34833333333333333,534.0,-106.27,3
5,0.27,534.0,-85.458,4
6,0.225,534.0,24.02,5
7,0.19666666666666666,552.0,27.778,6
8,1.005,552.0,-280.294,1
9,0.51,552.0,-120.718,2
10,0.34833333333333333,552.0,-151.482,3
11,0.27,552.0,10.744,4
12,0.225,552.0,-192.162,5
13,0.19666666666666666,552.0,6.892,6
14,0.17785714285714285,552.0,-151.594,7
15,0.165,552.0,-28.632,8
16,0.1561111111111111,552.0,44.518,9
17,0.15000000000000002,552.0,40.718,10
18,0.1459090909090909,552.0,46.046,11
19,0.1433333333333333,552.0,45.716,12
20,0.14192307692307693,552.0,11.264,13
21,0.14142857142857143,552.0,7.502,14
22,0.14166666666666666,552.0,55.79,15
23,0.14250000000000002,552.0,-18.964,16
24,0.1438235294117647,552.0,77.938,17
25,0.14555555555555555,552.0,101.608,18
26,0.14763157894736842,552.0,-21.526,19
27,0.15000000000000002,552.0,-292.846,20
28,0.1526190476190476,552.0,79.79,21
29,0.15545454545454546,552.0,0.168,22
30,0.15847826086956524,552.0,101.158,23
31,0.16166666666666665,552.0,-110.606,24
32,0.165,552.0,-21.542,25
33,0.16846153846153847,552.0,108.562,26
34,0.17203703703703704,552.0,72.74,27
35,0.1757142857142857,552.0,-471.812,28
36,0.17948275862068963,552.0,93.33,29
37,0.18333333333333332,552.0,98.996,30
38,0.18725806451612903,552.0,-43.926,31
39,0.19125,552.0,28.37,32
40,0.1953030303030303,552.0,100.896,33
41,0.19941176470588237,552.0,78.638,34
42,0.20357142857142857,552.0,74.054,35
43,0.20777777777777778,552.0,-2.268,36
44,0.21202702702702703,552.0,7.686,37
45,0.2163157894736842,552.0,8.434,38
46,0.22064102564102564,552.0,53.668,39
47,0.225,552.0,97.508,40
48,0.229390243902439,552.0,-86.704,41
49,0.2338095238095238,552.0,86.354,42
50,0.23825581395348838,552.0,-0.806,43
51,0.24272727272727274,552.0,89.856,44
52,0.24722222222222223,552.0,60.89,45
53,0.25173913043478263,552.0,68.764,46
54,0.2562765957446808,552.0,-45.546,47
55,0.2608333333333333,552.0,24.248,48
56,0.26540816326530614,552.0,-82.394,49
57,0.27,552.0,-11.54,50
58,0.2746078431372549,552.0,-59.65,51
59,0.2792307692307692,552.0,-196.736,52
60,0.2838679245283019,552.0,29.422,53
61,0.2885185185185185,552.0,-60.246,54
62,0.2931818181818182,552.0,35.316,55
63,0.2978571428571429,552.0,-235.21,56
64,0.3025438596491228,552.0,-239.134,57
65,0.3072413793103448,552.0,-88.756,58
66,0.3119491525423729,552.0,13.884,59
67,0.31666666666666665,552.0,10.866,60
68,0.32139344262295083,552.0,-298.596,61
69,0.3261290322580645,552.0,44.37,62
70,0.3308730158730159,552.0,-37.188,63
71,0.335625,552.0,39.014,64
72,0.3403846153846154,552.0,45.164,65
73,0.34515151515151515,552.0,-55.706,66
74,0.34992537313432837,552.0,-5.784,67
75,0.3547058823529412,552.0,-33.068,68
76,0.3594927536231884,552.0,25.802,69
77,0.36428571428571427,552.0,-44.764,70
78,0.3690845070422535,552.0,22.362,71
79,0.3738888888888889,552.0,-136.04,72
80,0.3786986301369863,552.0,-10.984,73
81,0.3835135135135135,552.0,-31.852,74
82,0.3883333333333333,552.0,-103.252,75
83,0.3931578947368421,552.0,-82.92,76
84,0.397987012987013,552.0,-0.998,77
85,0.40282051282051284,552.0,2.098,78
86,0.4076582278481013,552.0,15.802,79
87,0.41250000000000003,552.0,-105.676,80
88,0.4173456790123457,552.0,-64.078,81
89,0.4221951219512195,552.0,-36.97,82
