Generation,Mutation Rate,Best Fitness,Average Fitness,Plateau Length
0,1.005,520.0,-28.072,1
1,1.005,520.0,-83.44,1
2,0.51,553.0,-478.124,2
3,1.005,553.0,-211.598,1
4,0.51,553.0,-209.976,2
5,0.34833333333333333,553.0,-339.784,3
6,0.27,553.0,7.748,4
7,0.225,553.0,19.514,5
8,0.19666666666666666,553.0,-33.0,6
9,0.17785714285714285,553.0,16.566,7
10,0.165,553.0,-24.22,8
11,0.1561111111111111,553.0,4.422,9
12,0.15000000000000002,553.0,50.406,10
13,0.1459090909090909,553.0,21.132,11
14,0.1433333333333333,553.0,65.74,12
15,0.14192307692307693,553.0,64.82,13
16,0.14142857142857143,553.0,30.908,14
17,0.14166666666666666,553.0,-127.436,15
18,0.14250000000000002,553.0,51.492,16
19,0.1438235294117647,553.0,70.722,17
20,0.14555555555555555,553.0,64.986,18
21,0.14763157894736842,553.0,76.028,19
22,0.15000000000000002,553.0,64.578,20
23,0.1526190476190476,553.0,63.926,21
24,0.15545454545454546,553.0,-281.682,22
25,0.15847826086956524,553.0,106.076,23
26,0.16166666666666665,553.0,-229.536,24
27,0.165,553.0,-160.824,25
28,0.16846153846153847,553.0,-134.486,26
29,0.17203703703703704,553.0,23.286,27
30,0.1757142857142857,553.0,83.984,28
31,0.17948275862068963,553.0,80.49,29
32,0.18333333333333332,553.0,102.872,30
33,0.18725806451612903,553.0,59.868,31
34,0.19125,553.0,-159.058,32
35,0.1953030303030303,553.0,86.736,33
36,0.19941176470588237,553.0,-141.12,34
37,0.20357142857142857,553.0,33.342,35
38,0.20777777777777778,553.0,-6.766,36
39,0.21202702702702703,553.0,-85.926,37
40,0.2163157894736842,553.0,29.014,38
41,0.22064102564102564,553.0,-8.634,39
42,0.225,553.0,-219.908,40
43,0.229390243902439,553.0,61.872,41
44,0.2338095238095238,553.0,-291.144,42
45,0.23825581395348838,553.0,56.432,43
46,0.24272727272727274,553.0,5.15,44
47,0.24722222222222223,553.0,49.36,45
48,0.25173913043478263,553.0,-186.728,46
49,0.2562765957446808,553.0,46.62,47
50,0.2608333333333333,553.0,3.646,48
51,0.26540816326530614,553.0,-78.928,49
52,0.27,553.0,-332.15,50
53,0.2746078431372549,553.0,61.394,51
54,0.2792307692307692,553.0,58.272,52
55,0.2838679245283019,553.0,0.228,53
56,0.2885185185185185,553.0,-13.602,54
57,0.2931818181818182,553.0,-9.57,55
58,0.2978571428571429,553.0,-155.09,56
59,0.3025438596491228,553.0,30.304,57
60,0.3072413793103448,554.0,31.36,58
61,1.005,554.0,41.26,1
62,0.51,554.0,7.582,2
63,0.34833333333333333,554.0,-1.612,3
64,0.27,554.0,-28.494,4
65,0.225,554.0,-146.606,5
66,0.19666666666666666,554.0,-130.968,6
67,0.17785714285714285,554.0,42.208,7
68,0.165,554.0,41.954,8
69,0.1561111111111111,554.0,38.838,9
70,0.15000000000000002,554.0,6.014,10
71,0.1459090909090909,554.0,5.18,11
