Generation,Mutation Rate,Best Fitness,Average Fitness,Plateau Length
0,1.01,400.0,14.538,1
1,1.01,500.0,-56.172,1
2,1.01,513.0,17.714,1
3,1.01,513.0,7.78,1
4,0.52,513.0,16.67,2
5,0.3633333333333333,513.0,20.168,3
6,0.29,550.0,22.302,4
7,1.01,550.0,26.954,1
8,0.52,550.0,17.754,2
9,0.3633333333333333,550.0,-37.582,3
10,0.29,550.0,20.266,4
11,0.25,550.0,31.82,5
12,0.22666666666666666,550.0,19.77,6
13,0.21285714285714286,550.0,4.588,7
14,0.20500000000000002,550.0,38.518,8
15,0.2011111111111111,550.0,47.346,9
16,0.2,550.0,56.578,10
17,0.20090909090909093,550.0,52.894,11
18,0.2033333333333333,550.0,7.486,12
19,0.20692307692307693,550.0,58.986,13
20,0.21142857142857144,550.0,40.582,14
21,0.21666666666666667,550.0,54.304,15
22,0.2225,550.0,29.198,16
23,0.2288235294117647,550.0,6.658,17
24,0.23555555555555555,550.0,56.528,18
25,0.24263157894736842,550.0,57.52,19
26,0.25,550.0,46.708,20
27,0.25761904761904764,550.0,63.924,21
28,0.26545454545454544,550.0,49.494,22
29,0.2734782608695652,550.0,37.54,23
30,0.2816666666666667,550.0,34.684,24
31,0.29,550.0,55.064,25
32,0.29846153846153844,550.0,-221.514,26
33,0.30703703703703705,550.0,48.178,27
34,0.3157142857142857,550.0,39.772,28
35,0.32448275862068965,550.0,-18.33,29
36,0.3333333333333333,550.0,31.144,30
37,0.34225806451612906,550.0,31.46,31
38,0.35125,550.0,31.404,32
39,0.36030303030303035,550.0,30.474,33
40,0.3694117647058824,550.0,18.592,34
41,0.37857142857142856,550.0,-40.848,35
42,0.3877777777777778,550.0,25.598,36
43,0.397027027027027,550.0,-306.376,37
44,0.4063157894736842,550.0,15.684,38
45,0.4156410256410257,550.0,25.878,39
46,0.42500000000000004,550.0,5.69,40
47,0.434390243902439,550.0,16.35,41
48,0.44380952380952376,550.0,25.26,42
49,0.45325581395348835,550.0,-24.258,43
50,0.4627272727272727,550.0,25.162,44
51,0.4722222222222222,550.0,27.152,45
52,0.4817391304347826,550.0,21.414,46
53,0.4912765957446808,550.0,19.654,47
54,0.5008333333333334,550.0,9.426,48
55,0.5104081632653061,550.0,20.88,49
56,0.52,550.0,-27.98,50
57,0.529607843137255,550.0,17.878,51
58,0.5392307692307693,550.0,-146.694,52
59,0.5488679245283019,550.0,20.558,53
60,0.5585185185185185,550.0,18.88,54
61,0.5681818181818182,550.0,18.546,55
62,0.577857142857143,550.0,19.78,56
63,0.5875438596491227,550.0,15.558,57
64,0.5972413793103448,550.0,19.888,58
65,0.6069491525423728,550.0,-16.216,59
66,0.6166666666666667,550.0,15.278,60
67,0.6263934426229508,550.0,25.4,61
68,0.6361290322580645,550.0,5.984,62
69,0.6458730158730159,550.0,17.958,63
70,0.655625,550.0,-26.656,64
71,0.6653846153846155,550.0,2.4,65
72,0.6751515151515152,550.0,18.794,66
73,0.6849253731343284,550.0,12.304,67
74,0.6947058823529412,550.0,16.04,68
75,0.7044927536231883,550.0,-67.084,69
76,0.7142857142857142,550.0,6.542,70
77,0.7240845070422535,550.0,8.288,71
78,0.7338888888888888,550.0,-68.626,72
79,0.7436986301369863,550.0,-73.48,73
80,0.7535135135135135,550.0,12.926,74
81,0.7633333333333333,550.0,20.724,75
82,0.7731578947368422,552.0,17.5,76
83,1.01,552.0,18.132,1
84,0.52,552.0,10.18,2
85,0.3633333333333333,552.0,1.986,3
86,0.29,552.0,16.17,4
87,0.25,552.0,4.798,5
88,0.22666666666666666,552.0,23.918,6
89,0.21285714285714286,552.0,32.7,7
90,0.20500000000000002,552.0,34.648,8
91,0.2011111111111111,552.0,41.03,9
92,0.2,552.0,43.102,10
93,0.20090909090909093,552.0,50.442,11
94,0.2033333333333333,552.0,25.002,12
95,0.20692307692307693,552.0,46.85,13
96,0.21142857142857144,552.0,47.526,14
97,0.21666666666666667,552.0,-28.816,15
98,0.2225,552.0,56.006,16
99,0.2288235294117647,552.0,57.326,17
100,0.23555555555555555,552.0,51.05,18
101,0.24263157894736842,552.0,45.262,19
102,0.25,552.0,43.326,20
103,0.25761904761904764,552.0,-278.604,21
104,0.26545454545454544,552.0,39.864,22
105,0.2734782608695652,552.0,47.652,23
106,0.2816666666666667,552.0,26.908,24
107,0.29,552.0,23.426,25
108,0.29846153846153844,552.0,32.482,26
109,0.30703703703703705,552.0,23.38,27
110,0.3157142857142857,552.0,27.874,28
111,0.32448275862068965,552.0,32.832,29
112,0.3333333333333333,552.0,26.564,30
113,0.34225806451612906,552.0,32.858,31
114,0.35125,552.0,32.036,32
115,0.36030303030303035,552.0,22.256,33
116,0.3694117647058824,552.0,28.854,34
117,0.37857142857142856,552.0,26.196,35
118,0.3877777777777778,552.0,29.414,36
119,0.397027027027027,552.0,32.362,37
120,0.4063157894736842,552.0,24.326,38
121,0.4156410256410257,552.0,22.968,39
122,0.42500000000000004,552.0,29.864,40
123,0.434390243902439,552.0,6.29,41
124,0.44380952380952376,552.0,-8.818,42
125,0.45325581395348835,552.0,-148.162,43
126,0.4627272727272727,552.0,22.4,44
127,0.4722222222222222,552.0,14.738,45
128,0.4817391304347826,552.0,27.798,46
129,0.4912765957446808,552.0,16.774,47
130,0.5008333333333334,552.0,-291.37,48
131,0.5104081632653061,552.0,9.04,49
132,0.52,552.0,27.552,50
133,0.529607843137255,552.0,25.03,51
134,0.5392307692307693,552.0,17.8,52
135,0.5488679245283019,552.0,-52.018,53
136,0.5585185185185185,552.0,-40.482,54
137,0.5681818181818182,552.0,-54.776,55
138,0.577857142857143,552.0,-136.516,56
139,0.5875438596491227,552.0,-159.644,57
140,0.5972413793103448,552.0,-47.112,58
141,0.6069491525423728,552.0,20.452,59
142,0.6166666666666667,552.0,12.306,60
143,0.6263934426229508,552.0,9.838,61
144,0.6361290322580645,552.0,22.466,62
145,0.6458730158730159,552.0,14.09,63
146,0.655625,552.0,15.422,64
147,0.6653846153846155,552.0,-30.856,65
148,0.6751515151515152,552.0,17.032,66
149,0.6849253731343284,552.0,15.208,67
150,0.6947058823529412,552.0,15.572,68
151,0.7044927536231883,552.0,14.896,69
152,0.7142857142857142,552.0,16.846,70
153,0.7240845070422535,552.0,15.704,71
154,0.7338888888888888,552.0,14.946,72
155,0.7436986301369863,552.0,-24.656,73
156,0.7535135135135135,552.0,-13.18,74
157,0.7633333333333333,552.0,-14.786,75
158,0.7731578947368422,552.0,18.22,76
159,0.782987012987013,552.0,16.658,77
160,0.7928205128205128,552.0,18.02,78
161,0.8026582278481013,552.0,6.938,79
162,0.8125,552.0,-11.574,80
163,0.8223456790123458,552.0,6.114,81
164,0.8321951219512195,552.0,2.818,82
165,0.8420481927710843,552.0,19.602,83
166,0.8519047619047618,552.0,9.482,84
167,0.8617647058823529,552.0,-0.698,85
168,0.8716279069767442,552.0,-10.056,86
169,0.8814942528735632,552.0,7.648,87
170,0.8913636363636364,552.0,-320.56,88
171,0.9012359550561798,552.0,16.114,89
172,0.9111111111111111,552.0,-4.76,90
173,0.920989010989011,552.0,16.454,91
174,0.9308695652173914,552.0,-3.652,92
175,0.940752688172043,552.0,13.986,93
176,0.9506382978723403,552.0,22.396,94
177,0.9605263157894737,552.0,17.904,95
178,0.9704166666666666,552.0,14.404,96
179,0.9803092783505154,552.0,19.654,97
180,0.990204081632653,552.0,5.348,98
181,1.0001010101010102,552.0,21.09,99
